word,tf,pmi,info_ent
货币,0.00449856396182,5.31533742637,3.72938348429
劳动,0.00437192745707,5.07671418623,3.72577085342
利润,0.0029165970001,5.36769135104,3.41722531793
形式,0.0028710870062,5.26204886603,3.12233218275
剩余,0.00258219747974,5.72844863676,0.720770524013
流通,0.00207169406995,5.33831517258,3.69403430831
我们,0.00200639712219,5.14939397934,4.07338391095
土地,0.00194901495597,5.00333305827,3.5407752253
因此,0.00181545301736,5.0007810651,4.46873320275
过程,0.00177291106655,5.28428847189,2.16889284701
如果,0.00160274326328,5.5037097938,4.44412658048
已经,0.00157800957095,5.51865660416,4.57210161239
银行,0.00153843566321,5.44491652154,3.55028769666
情况,0.00141377785385,6.25629271222,2.42669204809
增加,0.00132374721375,5.42565536053,4.09165724097
社会,0.00119315331822,5.2695956381,3.73602940835
转化,0.00117930245052,5.30762260017,1.14142715893
必须,0.00112587767507,6.14768547545,4.34977834048
消费,0.00110114398274,5.95882676102,3.2689834461
职能,0.00108432507195,5.5867477163,1.97124197705
I部类,0.00103090029651,5.42790567652,0.692962967156
方面,0.00102298551496,5.52729469933,1.80678310032
预付,0.00101210269033,5.99172786721,2.79450366372
主义,0.000988358345692,5.96149442574,0.54102129535
利息,0.000986379650305,5.20154121704,2.86096341754
支付,0.000935922917943,5.64070098262,3.76222026386
市场,0.000926029441009,6.26990262267,2.74988991444
自己,0.000901295748674,6.25992092332,3.04641824711
平均,0.000900306400981,6.64674118593,2.8973596248
并且,0.000820169237816,5.77603835098,4.4984259012
固定,0.000807307717802,5.4950705849,1.12030109124
那末,0.000798403588562,5.76285974167,4.22662133223
周转,0.000789499459321,5.32090231373,3.28560221154
购买,0.000777627287001,6.61685810663,3.98561966541
期间,0.000771691200841,5.19112549588,2.22443655738
实际,0.000764765766987,5.96218235877,2.99517016568
─┼─,0.000763776419293,5.29492669076,0.23291380312
假定,0.000745968160813,5.48262704402,4.01273863049
条件,0.000744978813119,6.93236837378,3.04087265566
提高,0.000738053379265,5.5478142138,3.59925385646
完全,0.000731127945412,5.9409223318,3.63365099818
──┼─,0.000716287730011,5.23073353312,0.243956906296
─┼──,0.000716287730011,5.23073353312,0.243956906296
要素,0.000714309034624,5.19649459849,2.69277428205
执行,0.000699468819223,5.51080338667,1.84172771081
经济,0.000690564689983,5.73353805739,2.28409555456
收入,0.000683639256129,5.7471078104,2.97080163589
──┼──,0.000668799040728,5.22632837442,0.592332255373
出售,0.000666820345342,5.30344243685,3.77355247143
提供,0.000650990782248,5.7351658662,3.42915203284
追加,0.0006430760007,5.76136294553,2.42933129355
之间,0.000641097305314,5.02120725214,2.14950498339
发展,0.000605480788352,6.06085259558,3.15467493786
构成,0.000604491440658,5.426632207,3.54705117551
减少,0.000598555354498,6.48616940203,3.89343835463
关系,0.000593608616031,6.30849808921,3.19136094823
交换,0.000579757748324,6.54962347983,3.24635540452
任何,0.000573821662163,7.08514035721,3.65316451829
直接,0.000568874923697,6.88417924961,3.95245164985
补偿,0.000562938837536,7.1010956468,3.56645397915
第二,0.000558981446763,5.11447824892,3.27222828082
─┼───,0.000557992099069,5.04518954987,0.282563684603
按照,0.000533258406735,6.53115225439,3.73596638526
第II部类,0.000525343625188,5.52992289391,2.84324744488
夸特,0.000521386234414,6.41236753278,2.31714136286
能够,0.0005085247144,5.40361803167,4.40090742982
场合,0.000503577975933,5.64142954384,1.69034075059
考察,0.000501599280546,7.26443359128,3.29707248608
影响,0.000486759065146,7.60551670057,2.58855965988
循环,0.000485769717452,7.55222922169,2.74641080934
什么,0.000479833631292,7.31167533285,3.04652793082
利息率,0.000476865588212,5.21145401404,3.85133685329
另一方,0.000468950806665,5.18766089486,0.210387139486
积累,0.000465982763584,7.33912107358,3.59416470677
虽然,0.000462025372811,6.06951512713,4.09794491342
下降,0.000462025372811,5.49650511405,3.4862088054
执行职能,0.000460046677424,5.60393493268,2.61873814355
问题,0.000456089286651,7.42984726705,3.03729917542
另一方面,0.000454110591264,6.00376829424,4.2451497438
比例,0.000452131895877,5.12739039453,2.07044302694
组成,0.00045015320049,5.43462592124,0.328790557648
包含,0.00044124907125,7.09716772714,2.70483115452
手段,0.000436302332783,5.92678974083,1.84134554972
相反,0.000432344942009,5.15854943131,3.34833002366
组成部分,0.000423440812769,5.2156215922,2.41080115693
汇票,0.000422451465076,7.13671686559,3.22714773291
结果,0.000415526031222,5.3017637315,2.20835411313
需求,0.000414536683528,6.00665945802,2.50813314662
经济学,0.000408600597368,5.77011034701,2.61776572259
─┬─,0.000401675163514,5.29492669076,0.234386000958
扩大,0.000398707120434,5.85915315526,3.51587919037
时候,0.0003888136435,5.36591925627,0.811155920851
基础,0.0003888136435,7.44525252547,1.99406984333
代表,0.000384856252727,5.33493803626,4.00242040753
机器,0.000383866905034,6.74863495864,3.81771186825
计算,0.00037990951426,7.09950273347,3.70310799603
──┬─,0.000378920166567,5.23660852034,0.25784296431
─┬──,0.000377930818873,5.23399413977,0.245331595464
原料,0.000374962775793,5.02009552329,3.39393587714
引起,0.0003739734281,6.17325232841,3.12060922913
页),0.000371994732713,5.41121388451,2.38485021311
英国,0.000369026689633,5.54621355224,3.7248810876
